Elements Clean Sheets Per 90,Elements Saves,Elements Transfers In Event,Elements Form Rank,Elements Transfers Out Event,Elements Assists,Elements Expected Goals Conceded Per 90,Elements Saves Per 90,Elements Goals Conceded Per 90,Elements Expected Assists Per 90,Elements Yellow Cards,Elements Event Points
0.53,62.0,210.0,476.0,132.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,66.0,389.0,54.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,145.0,517.0,72.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,431.0,388.0,478.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,86.0,491.0,47.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,16.0,498.0,20.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,507.0,659.0,239.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,33.0,645.0,24.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,46.0,497.0,27.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
0.53,62.0,32.0,355.0,19.0,4.0,3.0664999999999987,3.65,1.18,0.09,1.0,2.0
0.53,62.0,6938.0,39.45,2704.0,4.0,3.0664999999999987,3.65,1.18,0.09,1.0,2.0
0.53,62.0,274.0,333.0,76.0,4.0,1.54,3.65,1.82,0.04,3.0,2.0
0.53,62.0,170.0,564.0,136.0,4.0,1.54,3.65,1.82,0.04,3.0,2.0
0.12,62.0,6990.0,143.0,3037.0,5.0,1.67,3.65,1.75,0.05,2.0,1.0
0.3,62.0,5563.0,76.0,4636.0,6.0,1.62,3.65,1.46,0.2,1.0,3.0
0.3,62.0,11.0,681.0,5.0,6.0,1.62,3.65,1.46,0.2,1.0,3.0
0.09,70.0,7964.0,158.0,15670.0,1.0,1.73,4.69,1.79,0.2,1.0,3.0
0.09,70.0,11.0,373.0,107.0,1.0,3.0664999999999987,4.69,1.79,0.2,1.0,3.0
0.09,70.0,11.0,544.0,16.0,1.0,3.0664999999999987,4.69,1.79,0.2,1.0,3.0
0.21,70.0,93.0,226.0,471.0,3.0,1.61,4.69,1.73,0.11,3.0,3.0
0.26,70.0,131.0,259.0,73.0,1.0,1.64,4.69,1.81,0.15,1.0,1.0
0.26,70.0,261.0,437.0,384.0,1.0,1.07,4.69,1.81,0.15,1.0,1.0
0.26,70.0,88.0,578.0,98.0,1.0,3.0664999999999987,4.69,3.581999999999998,0.15,1.0,1.0
0.19,70.0,158.0,149.0,321.0,4.0,1.7,4.69,1.74,0.15,4.0,2.0
0.17,70.0,23890.399999999987,107.0,17274.99999999997,3.0,1.64,4.69,1.67,0.23,2.0,2.0
0.51,70.0,257.0,368.0,297.0,3.0,1.36,4.69,2.06,0.01,2.0,2.0
0.11,70.0,481.0,113.0,658.0,2.0,1.59,4.69,1.65,0.03,4.0,2.0
0.11,70.0,481.0,701.0,5.0,2.0,2.7,4.69,1.65,0.08,4.0,2.0
0.11,70.0,481.0,602.0,6.0,2.0,2.7,4.69,1.65,0.08,4.0,2.0
0.08450000000000003,70.0,218.0,556.0,177.0,2.0,1.76,4.69,1.88,0.04,2.0,2.0
0.16,70.0,218.0,221.0,1171.0,2.0,1.76,4.69,1.64,0.17,2.0,2.0
0.31,70.0,2599.0,79.0,2071.0,4.0,1.35,4.69,1.72,0.07,2.0,2.0
0.31,70.0,19.0,731.55,29.0,4.0,1.76,4.69,1.4,0.01,2.0,2.0
0.31,70.0,19.0,731.55,287.0,4.0,1.76,4.69,1.4,0.01,2.0,2.0
0.31,3.0,3835.0,359.0,2214.0,4.0,0.93,1.88,1.25,0.01,2.0,1.0
0.22,3.0,23890.399999999987,120.0,17274.99999999997,3.0,1.58,1.88,1.63,0.07,2.0,2.0
0.22,3.0,1381.0,272.0,5233.0,3.0,2.4,1.88,2.35,0.05,2.0,2.0
0.22,3.0,1381.0,579.0,5.0,3.0,2.4,1.88,2.35,0.05,2.0,2.0
0.22,3.0,320.0,391.0,755.0,1.0,2.42,1.88,2.97,0.11,1.0,1.0
0.11,3.0,5031.0,245.0,2704.0,1.0,1.75,1.88,1.96,0.02,1.0,1.0
0.11,3.0,44.0,575.0,185.0,1.0,1.75,1.88,1.96,0.02,1.0,1.0
0.11,3.0,11.0,708.0,5.0,1.0,1.75,1.88,1.96,0.02,1.0,1.0
0.11,3.0,11.0,478.0,86.0,1.0,3.0664999999999987,1.88,1.96,0.02,1.0,1.0
0.11,3.0,11.0,661.0,30.0,1.0,3.0664999999999987,1.88,1.96,0.02,1.0,1.0
0.11,3.0,57.0,592.0,50.0,1.0,1.03,1.88,1.96,0.04,1.0,1.0
0.11,3.0,162.0,516.0,75.0,1.0,1.03,1.88,1.96,0.04,1.0,1.0
0.11,3.0,763.0,60.0,1261.0,1.0,1.03,1.88,1.96,0.04,1.0,1.0
0.11,3.0,195.0,274.0,20.0,1.0,1.67,1.88,3.581999999999998,0.29549999999999954,1.0,1.0
0.11,3.0,42.0,489.0,5.0,1.0,1.67,1.88,3.581999999999998,0.29549999999999954,1.0,1.0
0.15,3.0,115.0,284.0,455.0,1.0,1.71,1.88,1.98,0.22,1.0,1.0
0.15,3.0,115.0,611.0,5.0,1.0,1.71,1.88,1.98,0.22,1.0,1.0
0.3,3.0,40.0,255.0,838.0,1.0,1.33,1.88,1.24,0.03,5.0,1.0
0.3,3.0,40.0,492.0,1041.0,1.0,1.33,1.88,1.24,0.03,5.0,1.0
0.3,3.0,40.0,629.0,17.0,1.0,1.33,1.88,1.24,0.03,5.0,1.0
0.3,3.0,40.0,695.0,17.0,1.0,1.33,1.88,1.24,0.03,5.0,1.0
0.23,3.0,1821.0,327.0,5038.0,1.0,1.59,1.88,1.73,0.04,4.0,1.0
0.13,3.0,40.0,128.0,11348.0,1.0,1.54,1.88,1.53,0.1,3.0,1.0
0.13,3.0,40.0,713.0,7.0,1.0,1.22,1.88,0.93,0.04,3.0,1.0
0.13,3.0,40.0,731.55,5.0,1.0,1.22,1.88,0.93,0.04,3.0,1.0
